user_id,customer_id,android_id,trans_time,advertising_id,advertising_id_id
0,862201,b9f7a362982aaee0,2020-07-13 18:05:08,b338ee49-b92f-4bcb-b9d4-13a95c6fbe95,29630
1,4271399,0461d79919186b9d,2020-07-27 10:25:27,a2eb4023-adc1-41b1-a4b9-4f19d0dc1786,24793
2,4284127,538ba9d7767afa93,2020-08-01 09:15:17,98bbe114-65ad-4774-8527-fc1560c54e37,14694
3,4237165,c5bdf3f3623df3b5,2020-07-03 13:05:09,eb3ba78a-0678-4f55-bef0-f3a02870119f,13348
5,4280368,dcaa8cbed54e3224,2020-07-29 15:05:31,2654a4de-a296-42f0-8b1c-5cab5d051346,28677
6,4202015,4d4a3c1035c44bd7,2020-06-27 06:35:10,b2808692-604f-45b8-bc8b-de8b42ba6b25,5883
7,4231308,d0917b4360cbec14,2020-06-28 19:15:08,341219c4-f845-4424-8230-88fc9da04527,10870
8,4255216,09e69907ac2f3d72,2020-07-14 11:55:11,bf3c603d-5889-4204-83e8-f2098fc881ef,7124
9,4277377,4e69ebabcdae2648,2020-07-30 06:40:02,2f53212d-a9cc-458d-b30e-afc34b27ba3d,6718
10,4128829,df195a15d7d30b64,2020-07-18 19:00:02,4bc52e73-2a05-4dc9-9f71-cd2c35837890,6011
11,4036890,f4ea2dcc07b90f8a,2020-07-06 09:55:26,b2196d2f-aa04-4af4-9929-9cf2354d43fc,4800
12,4273337,0eb0a8a94faac478,2020-07-25 08:55:23,c1b8005d-311b-4e70-aded-9bb7542219d7,19769
13,4290405,e3e443eac08e12a5,2020-08-06 09:55:12,f75d6299-8609-4035-9e38-d136591021ea,26848
14,3126296,1a271553f7f842d1,2020-07-13 12:45:17,98c63d88-74d0-492a-a6f0-7c0adbc09cea,10868
15,4259416,10e23540d6258194,2020-07-16 17:45:14,738b7d6e-434c-48c4-99a5-ba9f4024bd44,3028
16,4291583,3da7f2d3e50d2d57,2020-08-06 11:45:18,beb29346-6ea1-4a59-b6f9-0009689c4ee4,13808
17,4259716,43ddd76ceb5e9850,2020-07-17 01:01:31,a0a599fb-bdd8-4df9-86c5-b8ecf385f326,30360
